lon,lat
119.632262,27.096969
109.5285442,-7.6162571
127.60654,44.906512
38.0521393,53.0641593
125.0249666,11.0817215
-44.7653198,-20.4438418
-0.3136781,5.5773983
36.2264681,33.3585811
118.552365,24.781681
-50.1584514,-25.0993621
112.964446,22.765392
-108.1821561,38.3237571
-51.3738524,-29.5904737
112.6794582,-7.6034421
48.390554,54.145036
104.5422225,14.9128369
-83.504629,10.097212
9.9171742,11.4818951
-38.2110938,-9.1930089
-8.4531054,41.7977426
112.723615,27.754532
-80.017511,32.8676912
24.6345078,50.2836918
89.6511373,48.9046462
-123.7079417,48.7786908
14.509899,49.8618582
-47.6931718,-23.351784
3.5276642,45.521519
1.9038837,43.0429124
-75.6499025,41.3879567
-47.9985512,-23.5795137
12.7347961,56.6695343
115.789204,22.920341
121.0134927,14.5636407
-44.1411883,-20.0325016
140.276147,-6.080007
113.625328,34.746611
-46.668872,-23.611227
15.2359979,46.1542793
124.4891278,-9.5662977
126.587709,45.88948
28.3217259,-26.2396883
-52.9940605,47.5083178
20.1476897,50.7392866
15.8777956,46.4922368
102.1609718,14.72328
18.0703677,49.1077842
26.44965,42.8867657
125.3448026,6.596349
101.6811249,3.1398297
23.7725723,38.0120968
131.2449277,34.0753818
1.663862,45.161017
4.4982869,52.1513886
18.068285,59.312956
101.0782727,12.7361733
118.6422409,24.9372186
23.6417373,38.5774849
-80.3463754,8.5311099
-1.8585424,38.994349
-7.6444333,39.306292
24.9459851,48.1662009
-45.9420118,-21.6437404
-6.5924609,53.2482376
-91.1118075,42.5420213
-13.5841871,10.3674543
118.604038,24.914102
121.0409412,14.5598164
175.8087485,-38.9898711
-6.133718,53.291512
10.5718086,35.8746739
39.0323223,55.3851413
80.0161127,9.665692
106.4111425,-6.615755
11.9323841,57.7230291
106.5112712,-7.196982
10.5830644,36.6832659
-49.8091065,-26.1164276
123.355701,42.741005
46.5485537,43.3688739
112.3695412,-7.620317
33.2898473,69.0474473
113.7037797,-7.0655878
100.2656209,1.0087005
104.100502,-1.259553
124.3337947,40.0792114
-58.4389753,-34.8411832
10.0415603,37.2488951
-48.3242858,-10.249091
17.0987136,50.3093303
-8.4405081,37.197624
16.5805191,59.6194065
30.3954982,59.7959318
86.145298,41.764115
-77.9438811,-5.9285726
35.9263157,56.076372
24.8816753,41.2290466
108.133333,-7.633333
19.2876039,53.0662784
2.087826,49.0426
-58.143739,-15.2634934
-41.8402054,-16.5625267
101.7525358,47.4389969
120.15507,30.274084
111.607282,34.888685
27.3331357,56.5099223
22.91889,55.985
-100.9256085,22.2222241
72.9401509,41.8760133
31.0795105,48.4442035
20.0278794,45.9956745
123.9469641,9.9368373
106.9831434,-6.3414379
44.785514,50.9417027
-7.7850487,41.1653042
37.1847804,48.282193
120.341507,15.884783
-74.5346103,4.0904675
111.4514369,-8.0888877
82.978928,46.748522
102.9746601,5.5067818
122.0047563,16.9846184
17.6375865,60.1386576
2.511999,43.7441795
27.4337343,43.3155137
53.7021347,63.7435338
123.1899735,13.434798
44.4252603,-12.1349328
-96.889555,32.8094568
117.1514753,-0.5025568
2.3839746,48.8858655
80.638098,6.950203
108.7437098,-7.428179
14.6607051,50.1336212
35.3959879,-23.8879561
111.648408,33.755453
-8.2082378,41.1241415
-81.3756862,13.3875121
114.374997,-8.2077579
-95.4647953,30.319558
121.653543,17.902174
64.0818612,45.4852437
124.796217,7.20312
125.0332235,11.0537247
-8.4272356,39.6920939
-4.1116493,47.9894676
112.032036,38.665105
-67.5305258,-45.8802629
23.7419512,37.9854094
41.7374739,43.4265165
114.091192,32.147679
24.8816753,41.2290466
-54.7576819,-24.2481501
118.8276355,-8.4709546
39.3205815,56.3229585
-41.4691745,-11.691928
-99.0806088,19.3579802
116.3958807,39.9416682
123.6962232,11.229568
3.2571934,50.1559065
-44.813111,-1.8867371
19.5968399,51.2150482
20.5554375,42.0512556
-68.8493333,-32.9677252
112.7137227,-7.3024274
103.455954,30.789876
-58.3613645,-34.7682125
122.8283,-10.9232
113.297291,23.178828
31.5054276,50.8234101
-8.8093934,39.819732
7.5626411,6.0312787
-7.2713126,39.8325643
105.1990045,-5.1734862
112.282503,-7.002985
121.1473998,14.5703297
27.797184,-26.1633679
-47.5717516,-22.4101426
46.9776352,51.2291266
-58.4937996,-34.5688333
71.9355029,34.0078256
101.7178316,3.1523104
99.999936,8.2760566
17.5393153,43.8234396
51.1985113,43.6410973
-78.0295273,18.1741581
32.929501,-1.959951
21.9829204,51.7300614
17.1227163,65.1047244
83.4323375,27.6873608
105.8097244,20.9959819
2.0875699,49.0337974
-6.2634596,53.3004898
108.2881709,-7.3266223
-9.7359765,54.1433253
115.4555858,-8.6785828
108.230338,-7.3251615
35.2346035,31.7777597
-75.0377502,1.600501
29.2092738,49.1040007
39.2695629,57.007322
-88.0162724,43.1043447
116.452296,39.756206
106.7175669,-6.4306844
47.8109854,56.6338771
27.03333,50.81667
-77.8267218,21.241735
120.9964652,14.6230693
-0.4601725,46.280212
144.9630576,-37.8136276
-43.6644238,-19.8852788
-8.8093934,39.819732
108.93977,34.341574
107.494838,22.646141
2.3468195,6.4503024
-78.0452217,-7.6209569
15.1735854,60.1512028
110.6740009,25.6067597
30.3954982,59.7959318
106.9168787,-6.1873861
-96.8,32.78
21.4252753,50.9092557
43.3907569,41.8399528
65.1254488,36.9549975
46.3340785,42.5969703
115.182134,23.63841
-69.527634,-15.24014
-48.653927,-27.633137
-84.179403,9.914487
22.4259628,38.4324927
121.0959448,14.6031411
121.065069,16.913074
-122.802962,49.0253085
83.7603436,53.3276146
-50.2199938,-22.787936
134.5990156,34.1228075
12.9029659,56.0913813
17.8834957,50.8062039
19.1694848,53.0860174
-42.4331624,-19.2580383
-112.80195,53.76686
90.9081542,24.22123
